2020-02-25 21:54:21.584644 -  latency: 1.841068 ms
2020-02-25 21:54:21.592410 -  latency: 20.586967 ms
2020-02-25 21:54:21.596269 -  latency: 2.511978 ms
2020-02-25 21:54:21.601245 -  latency: 2.045870 ms
2020-02-25 21:54:21.609028 -  latency: 53.569794 ms
2020-02-25 21:54:21.612520 -  latency: 2.393007 ms
2020-02-25 21:54:21.617686 -  latency: 2.093077 ms
2020-02-25 21:54:21.625605 -  latency: 86.488008 ms
2020-02-25 21:54:21.629201 -  latency: 2.436876 ms
2020-02-25 21:54:21.634191 -  latency: 1.939058 ms
2020-02-25 21:54:21.642029 -  latency: 20.789146 ms
2020-02-25 21:54:21.645653 -  latency: 2.465963 ms
2020-02-25 21:54:21.650582 -  latency: 1.907110 ms
2020-02-25 21:54:21.658688 -  latency: 54.059029 ms
2020-02-25 21:54:21.662258 -  latency: 2.616882 ms
2020-02-25 21:54:21.666927 -  latency: 1.914024 ms
2020-02-25 21:54:21.674771 -  latency: 86.531162 ms
2020-02-25 21:54:21.678268 -  latency: 2.343893 ms
2020-02-25 21:54:21.683314 -  latency: 1.954079 ms
2020-02-25 21:54:21.691719 -  latency: 21.227121 ms
2020-02-25 21:54:21.694919 -  latency: 2.524137 ms
2020-02-25 21:54:21.699882 -  latency: 1.919985 ms
2020-02-25 21:54:21.708228 -  latency: 54.031849 ms
2020-02-25 21:54:21.711310 -  latency: 2.460003 ms
2020-02-25 21:54:21.716242 -  latency: 1.878023 ms
2020-02-25 21:54:21.724652 -  latency: 86.937904 ms
2020-02-25 21:54:21.727546 -  latency: 2.263069 ms
2020-02-25 21:54:21.732724 -  latency: 1.959085 ms
2020-02-25 21:54:21.740958 -  latency: 21.116018 ms
2020-02-25 21:54:21.744212 -  latency: 2.445936 ms
2020-02-25 21:54:21.749470 -  latency: 2.208948 ms
2020-02-25 21:54:21.757211 -  latency: 20.956993 ms
2020-02-25 21:54:21.760640 -  latency: 2.412796 ms
2020-02-25 21:54:21.765678 -  latency: 1.955986 ms
2020-02-25 21:54:21.773830 -  latency: 70.395947 ms
2020-02-25 21:54:21.777044 -  latency: 2.351999 ms
2020-02-25 21:54:21.782093 -  latency: 1.912117 ms
2020-02-25 21:54:21.790076 -  latency: 103.218079 ms
2020-02-25 21:54:21.796369 -  latency: 5.292177 ms
2020-02-25 21:54:21.798362 -  latency: 1.836061 ms
2020-02-25 21:54:21.806133 -  latency: 20.488977 ms
2020-02-25 21:54:21.809586 -  latency: 2.157927 ms
2020-02-25 21:54:21.814692 -  latency: 1.797915 ms
2020-02-25 21:54:21.822635 -  latency: 53.427935 ms
2020-02-25 21:54:21.826323 -  latency: 2.470970 ms
2020-02-25 21:54:21.831336 -  latency: 1.960039 ms
2020-02-25 21:54:21.839268 -  latency: 86.521149 ms
2020-02-25 21:54:21.842763 -  latency: 2.439022 ms
2020-02-25 21:54:21.847750 -  latency: 1.929045 ms
2020-02-25 21:54:21.857175 -  latency: 22.317886 ms
2020-02-25 21:54:21.859337 -  latency: 2.494812 ms
2020-02-25 21:54:21.864087 -  latency: 1.864910 ms
2020-02-25 21:54:21.871692 -  latency: 53.323984 ms
2020-02-25 21:54:21.875335 -  latency: 2.382994 ms
2020-02-25 21:54:21.880702 -  latency: 2.338171 ms
2020-02-25 21:54:21.888486 -  latency: 86.483955 ms
2020-02-25 21:54:21.892176 -  latency: 2.465010 ms
2020-02-25 21:54:21.897138 -  latency: 1.951218 ms
2020-02-25 21:54:21.905208 -  latency: 20.988941 ms
2020-02-25 21:54:21.908407 -  latency: 2.276897 ms
2020-02-25 21:54:21.913470 -  latency: 1.867056 ms
2020-02-25 21:54:21.921568 -  latency: 53.977013 ms
2020-02-25 21:54:21.924842 -  latency: 2.338171 ms
2020-02-25 21:54:21.929814 -  latency: 1.835823 ms
2020-02-25 21:54:21.938026 -  latency: 86.738110 ms
2020-02-25 21:54:21.941385 -  latency: 2.465010 ms
2020-02-25 21:54:21.946310 -  latency: 1.890182 ms
2020-02-25 21:54:21.954842 -  latency: 21.432877 ms
2020-02-25 21:54:21.957650 -  latency: 2.321005 ms
2020-02-25 21:54:21.962677 -  latency: 1.857042 ms
2020-02-25 21:54:21.970484 -  latency: 53.409100 ms
2020-02-25 21:54:21.974139 -  latency: 2.351046 ms
2020-02-25 21:54:21.979048 -  latency: 1.825094 ms
2020-02-25 21:54:21.986933 -  latency: 86.273193 ms
2020-02-25 21:54:21.990029 -  latency: 2.040863 ms
2020-02-25 21:54:21.995312 -  latency: 1.850128 ms
2020-02-25 21:54:22.003095 -  latency: 20.494938 ms
2020-02-25 21:54:22.006557 -  latency: 2.145052 ms
2020-02-25 21:54:22.011705 -  latency: 1.842976 ms
2020-02-25 21:54:22.019644 -  latency: 20.699978 ms
2020-02-25 21:54:22.023136 -  latency: 2.327919 ms
2020-02-25 21:54:22.028135 -  latency: 1.863003 ms
2020-02-25 21:54:22.036349 -  latency: 70.068121 ms
2020-02-25 21:54:22.039353 -  latency: 2.151012 ms
2020-02-25 21:54:22.044632 -  latency: 1.948833 ms
2020-02-25 21:54:22.052434 -  latency: 102.570057 ms
2020-02-25 21:54:22.055707 -  latency: 2.141953 ms
2020-02-25 21:54:22.060934 -  latency: 1.961946 ms
2020-02-25 21:54:22.068754 -  latency: 20.660162 ms
2020-02-25 21:54:22.072198 -  latency: 2.357960 ms
2020-02-25 21:54:22.077279 -  latency: 1.909018 ms
2020-02-25 21:54:22.085217 -  latency: 53.499937 ms
2020-02-25 21:54:22.088407 -  latency: 2.046108 ms
2020-02-25 21:54:22.093619 -  latency: 1.778126 ms
2020-02-25 21:54:22.101895 -  latency: 86.555958 ms
2020-02-25 21:54:22.104858 -  latency: 2.249002 ms
2020-02-25 21:54:22.109858 -  latency: 1.833916 ms
2020-02-25 21:54:22.117735 -  latency: 20.504951 ms
2020-02-25 21:54:22.121419 -  latency: 2.447844 ms
2020-02-25 21:54:22.126291 -  latency: 1.835108 ms
2020-02-25 21:54:22.133974 -  latency: 53.080082 ms
2020-02-25 21:54:22.137616 -  latency: 2.235889 ms
2020-02-25 21:54:22.145242 -  latency: 4.454851 ms
2020-02-25 21:54:22.150312 -  latency: 85.907936 ms
2020-02-25 21:54:22.154064 -  latency: 2.341032 ms
2020-02-25 21:54:22.159007 -  latency: 1.821995 ms
2020-02-25 21:54:22.167070 -  latency: 20.821810 ms
2020-02-25 21:54:22.170421 -  latency: 2.358198 ms
2020-02-25 21:54:22.175328 -  latency: 1.796007 ms
