2020-02-25 21:49:53.057171 -  latency: 3.319025 ms
2020-02-25 21:49:53.061500 -  latency: 2.227068 ms
2020-02-25 21:49:53.066713 -  latency: 1.965046 ms
2020-02-25 21:49:53.073658 -  latency: 3.397942 ms
2020-02-25 21:49:53.077961 -  latency: 2.221107 ms
2020-02-25 21:49:53.083044 -  latency: 1.883030 ms
2020-02-25 21:49:53.090255 -  latency: 3.714085 ms
2020-02-25 21:49:53.095153 -  latency: 3.202200 ms
2020-02-25 21:49:53.100158 -  latency: 1.876116 ms
2020-02-25 21:49:53.107072 -  latency: 3.305197 ms
2020-02-25 21:49:53.111542 -  latency: 2.309084 ms
2020-02-25 21:49:53.116584 -  latency: 1.872063 ms
2020-02-25 21:49:53.123789 -  latency: 3.657103 ms
2020-02-25 21:49:53.127939 -  latency: 2.330065 ms
2020-02-25 21:49:53.133055 -  latency: 1.975060 ms
2020-02-25 21:49:53.139917 -  latency: 3.346920 ms
2020-02-25 21:49:53.144271 -  latency: 2.222776 ms
2020-02-25 21:49:53.149397 -  latency: 1.866817 ms
2020-02-25 21:49:53.156311 -  latency: 3.305912 ms
2020-02-25 21:49:53.160795 -  latency: 2.316952 ms
2020-02-25 21:49:53.165793 -  latency: 1.849890 ms
2020-02-25 21:49:53.172521 -  latency: 3.085136 ms
2020-02-25 21:49:53.177637 -  latency: 2.731085 ms
2020-02-25 21:49:53.182233 -  latency: 1.856089 ms
2020-02-25 21:49:53.188751 -  latency: 2.918959 ms
2020-02-25 21:49:53.193465 -  latency: 2.209902 ms
2020-02-25 21:49:53.198535 -  latency: 1.805067 ms
2020-02-25 21:49:53.205245 -  latency: 3.088951 ms
2020-02-25 21:49:53.209704 -  latency: 2.121925 ms
2020-02-25 21:49:53.214844 -  latency: 1.833916 ms
2020-02-25 21:49:53.221605 -  latency: 3.129959 ms
2020-02-25 21:49:53.225973 -  latency: 2.033949 ms
2020-02-25 21:49:53.231161 -  latency: 1.781940 ms
2020-02-25 21:49:53.237801 -  latency: 3.004074 ms
2020-02-25 21:49:53.242497 -  latency: 2.284050 ms
2020-02-25 21:49:53.247516 -  latency: 1.811981 ms
2020-02-25 21:49:53.254252 -  latency: 3.075838 ms
2020-02-25 21:49:53.259431 -  latency: 2.779007 ms
2020-02-25 21:49:53.264297 -  latency: 1.744032 ms
2020-02-25 21:49:53.270862 -  latency: 2.935171 ms
2020-02-25 21:49:53.275435 -  latency: 2.142906 ms
2020-02-25 21:49:53.280585 -  latency: 1.816034 ms
2020-02-25 21:49:53.287492 -  latency: 3.254175 ms
2020-02-25 21:49:53.292063 -  latency: 2.393961 ms
2020-02-25 21:49:53.297137 -  latency: 1.962900 ms
2020-02-25 21:49:53.303900 -  latency: 3.251076 ms
2020-02-25 21:49:53.308320 -  latency: 2.202034 ms
2020-02-25 21:49:53.313322 -  latency: 1.783133 ms
2020-02-25 21:49:53.320976 -  latency: 4.122972 ms
2020-02-25 21:49:53.325392 -  latency: 2.324104 ms
2020-02-25 21:49:53.330449 -  latency: 1.907825 ms
2020-02-25 21:49:53.338152 -  latency: 4.201889 ms
2020-02-25 21:49:53.341772 -  latency: 2.396107 ms
2020-02-25 21:49:53.346820 -  latency: 1.956940 ms
2020-02-25 21:49:53.353517 -  latency: 3.235102 ms
2020-02-25 21:49:53.357941 -  latency: 2.179861 ms
2020-02-25 21:49:53.363133 -  latency: 1.901865 ms
2020-02-25 21:49:53.369833 -  latency: 3.123999 ms
2020-02-25 21:49:53.374489 -  latency: 2.305031 ms
2020-02-25 21:49:53.379558 -  latency: 1.878977 ms
2020-02-25 21:49:53.386300 -  latency: 3.131151 ms
2020-02-25 21:49:53.390961 -  latency: 2.308846 ms
2020-02-25 21:49:53.395874 -  latency: 1.795053 ms
2020-02-25 21:49:53.402733 -  latency: 3.233910 ms
2020-02-25 21:49:53.407114 -  latency: 2.195120 ms
2020-02-25 21:49:53.412175 -  latency: 1.832962 ms
2020-02-25 21:49:53.419571 -  latency: 3.752947 ms
2020-02-25 21:49:53.424004 -  latency: 2.259016 ms
2020-02-25 21:49:53.429165 -  latency: 1.941919 ms
2020-02-25 21:49:53.435914 -  latency: 3.225088 ms
2020-02-25 21:49:53.440428 -  latency: 2.273083 ms
2020-02-25 21:49:53.445519 -  latency: 1.889944 ms
