	key	node
5	-1316475114095461599	cass-2
4	-1247003489400490536	CASS-3---
4	-1221302000929356107	cass-2
3	-1216096514465374010	cass-2
3	-1201092003985996827	CASS-3---
2	-1198940900067483719	cass-2
1	-1157632462475523068	cass-1
1	-1121834072367782196	cass-2
2	-1090918858465423745	CASS-3---
1	-1079697673854415888	CASS-3---
0	-1043742647366873663	CASS-3---
0	-1008930066264424371	cass-2
128	-999198781780551079	cass-2
127	-959178707180364140	cass-2
129	-941878514044964317	cass-1
126	-934861935036963314	cass-2
121	-898635997520017004	cass-2
117	-880912045292853657	cass-1
118	-879623114193472267	cass-2
111	-852494677121317304	CASS-3---
109	-839414979384757438	CASS-3---
107	-807210714010407791	cass-2
103	-804557463572512481	CASS-3---
104	-785269322462354660	cass-2
99	-764843203353914948	cass-2
98	-760882883145203168	cass-2
88	-666482485913567021	CASS-3---
79	-663882710954357630	cass-1
72	-635045264692749491	cass-1
67	-588142376925300527	cass-2
66	-576987192076412033	cass-2
60	-560016020466201343	cass-1
71	-559959951279127696	CASS-3---
69	-554024707322634649	CASS-3---
63	-548659263512770948	cass-2
62	-541056392999335752	cass-2
62	-528925624344615764	CASS-3---
47	-433774199520092301	CASS-3---
43	-421469507227220326	CASS-3---
37	-404309092568861643	cass-1
36	-368092440631521040	cass-2
32	-327985051359671873	cass-2
29	-307688721134158375	cass-2
27	-281252813629724661	cass-2
26	-257593758918544697	CASS-3---
18	-246683267189723618	cass-1
21	-231359736466580762	cass-2
17	-199746084392597513	CASS-3---
16	-196037428410537910	cass-2
14	-186272707474178782	CASS-3---
8	-151999354687653661	cass-2
7	-140283679195707553	cass-2
5	-132617020280253189	CASS-3---
2	-128061315680125107	cass-1
128	-91698583644502180	cass-1
110	-83942769392329014	CASS-3---
111	-81952081592388321	cass-2
15	-23192010927739247	cass-1
0	-11560402708083134	cass-1
187	44775031534181985	cass-2
228	71523804897898594	cass-2
255	94800153285079477	CASS-3---
132	107359420514915438	cass-2
135	126560108388802061	cass-1
121	138582385356987871	CASS-3---
140	147564244448422950	cass-2
141	153683624944232255	cass-2
131	185009739406186659	CASS-3---
150	210635488171343220	cass-1
158	271154230561957272	cass-2
159	288774771999170730	cass-1
161	306768698741442163	cass-1
173	418974601913344905	CASS-3---
189	452247809953441834	cass-2
184	490454645615538538	cass-1
198	508085724095006704	cass-2
192	527297836294471389	cass-1
194	557293876423316700	CASS-3---
195	561316024570384747	CASS-3---
196	568505395473310645	CASS-3---
198	601892167421185502	CASS-3---
215	670695270750548183	cass-1
220	700911658630426064	CASS-3---
221	703721645907880457	CASS-3---
222	704936961881106217	CASS-3---
223	711230204413747802	CASS-3---
227	712261501126426896	cass-2
230	747043769402164753	CASS-3---
230	752114312933042866	cass-2
225	759953862729774037	cass-1
234	772555523827501305	cass-2
228	772940304349124405	cass-1
232	785091390640210793	cass-1
235	801948084158739233	cass-1
247	839100327513316720	CASS-3---
241	845638129632478049	cass-1
250	870958855209070248	cass-2
248	879757078845652888	cass-1
253	913865384973415886	CASS-3---
254	922754085035204779	cass-1
254	923068578414639087	CASS-3---
255	957806559031184756	cass-2
255	972503878382296895	cass-1
129	1036471334038748890	cass-2
130	1046207277082782757	cass-2
131	1061773689153193902	cass-2
130	1063378889652842815	cass-1
133	1076142219685611318	cass-2
116	1093470721977491768	CASS-3---
117	1097977982285082666	CASS-3---
131	1114339314526355599	cass-1
132	1129315475108840716	cass-1
133	1142420311527107773	cass-1
134	1166248541814033616	cass-2
135	1196084917848338256	cass-2
136	1199426462251056129	cass-2
134	1204083767660855934	cass-1
118	1284135409096577756	CASS-3---
119	1292126024731603989	CASS-3---
137	1316310959090948847	cass-2
120	1344005127421830567	CASS-3---
122	1393226143581083942	CASS-3---
136	1398371833048930579	cass-1
138	1451274084857505100	cass-2
139	1470781611799226157	cass-2
123	1475781383670702298	CASS-3---
124	1476840795449098224	CASS-3---
137	1523159117844886046	cass-1
125	1572329819437651186	CASS-3---
138	1598312729777551244	cass-1
126	1632521371031685777	CASS-3---
139	1633147389065122435	cass-1
127	1677148576167039148	CASS-3---
128	1726079580690944617	CASS-3---
140	1728283617165210641	cass-1
129	1739926771438243805	CASS-3---
142	1778768374420791807	cass-2
130	1838126141326999830	CASS-3---
143	1841066555648070927	cass-2
132	1862479168217032353	CASS-3---
133	1865002686060961074	CASS-3---
144	1879284280503001350	cass-2
141	1883735804527166125	cass-1
142	1898560796797658891	cass-1
134	1900535179643927547	CASS-3---
145	1947328485641155561	cass-2
143	1956119052548120670	cass-1
146	1961418260860273178	cass-2
144	1963494515177891565	cass-1
145	1990459593288925543	cass-1
146	1991203678799665567	cass-1
135	2002328379417738005	CASS-3---
147	2064245382153717255	cass-1
147	2068715805324443035	cass-2
148	2086116191331310346	cass-1
149	2092477741953198305	cass-1
136	2101825645184452577	CASS-3---
151	2135926634188814994	cass-1
137	2136343887782946362	CASS-3---
148	2157163446454383975	cass-2
138	2157525862763219225	CASS-3---
139	2165424932905784262	CASS-3---
149	2170289941333277211	cass-2
152	2184666212955026128	cass-1
150	2224964483055553633	cass-2
140	2248525151206768499	CASS-3---
141	2251448149116709218	CASS-3---
153	2301184700275045752	cass-1
154	2326730679827251341	cass-1
151	2373190326157248047	cass-2
152	2375558111248331322	cass-2
142	2388175970735736429	CASS-3---
155	2390552424852923231	cass-1
143	2414432167911463900	CASS-3---
144	2426083431922920991	CASS-3---
145	2452063067032833702	CASS-3---
153	2453338486375526069	cass-2
156	2455416967259960835	cass-1
157	2487025024226758125	cass-1
154	2540549732820645290	cass-2
155	2574785398526773087	cass-2
156	2579093453134316458	cass-2
157	2581380149382305038	cass-2
146	2650985949803096477	CASS-3---
158	2749703307815508374	cass-1
147	2772220060890223377	CASS-3---
159	2773211016278037914	cass-2
148	2774465283403152168	CASS-3---
160	2776160961147134952	cass-2
149	2854343261497238475	CASS-3---
150	2923477277237955116	CASS-3---
160	2938359460586951100	cass-1
161	2950635996008296357	cass-2
151	2985701654752209005	CASS-3---
162	2988217882655169605	cass-2
152	3024749337077363783	CASS-3---
163	3033502179568750032	cass-2
164	3049433476360655583	cass-2
153	3068213104669860189	CASS-3---
165	3071496376317187065	cass-2
166	3146820216075031644	cass-2
154	3164637219258260896	CASS-3---
162	3193489001479320904	cass-1
163	3198473271037934602	cass-1
167	3222210438356357798	cass-2
155	3223154302191912067	CASS-3---
168	3264811619064897691	cass-2
169	3271767060703890823	cass-2
156	3278145959787861901	CASS-3---
170	3287455954283260097	cass-2
164	3298570869224003243	cass-1
165	3313015954763340873	cass-1
171	3346502237657410989	cass-2
166	3355557030942352335	cass-1
167	3382646087335943468	cass-1
168	3440241913033064484	cass-1
169	3460296610381976928	cass-1
172	3472135738785629197	cass-2
157	3476012129558602094	CASS-3---
170	3492774751912531192	cass-1
158	3499165671736854749	CASS-3---
159	3503061098277267564	CASS-3---
171	3542909937898477004	cass-1
160	3560109003269052523	CASS-3---
161	3568986592180543564	CASS-3---
173	3589866305370930174	cass-2
172	3596258078542894245	cass-1
174	3607687432759069165	cass-2
162	3611898044751233559	CASS-3---
173	3629804670497704178	cass-1
163	3632768266391766741	CASS-3---
164	3638972889592080380	CASS-3---
175	3669262984921070079	cass-2
165	3717863912606285663	CASS-3---
176	3738118246107866439	cass-2
177	3778173705510902559	cass-2
178	3794301532514947804	cass-2
174	3851986686598310450	cass-1
166	3886473157110697088	CASS-3---
167	3888076880960941631	CASS-3---
168	3970144253077739654	CASS-3---
175	4029066024509066444	cass-1
169	4029952992045270879	CASS-3---
170	4094666441840365488	CASS-3---
176	4113320188854978176	cass-1
171	4141252337516308173	CASS-3---
179	4142236540334519281	cass-2
180	4154913419020076959	cass-2
172	4158983371245957130	CASS-3---
181	4180054336666602833	cass-2
182	4240159496614338005	cass-2
177	4245258976963176098	cass-1
174	4264004680460363421	CASS-3---
175	4277017269763240197	CASS-3---
183	4322954184903964901	cass-2
178	4331420244303137757	cass-1
184	4360652556951312899	cass-2
185	4377831839284712114	cass-2
176	4418685832592015176	CASS-3---
177	4470147754070929314	CASS-3---
186	4472528884305670243	cass-2
188	4484241438121419443	cass-2
178	4534308297026226795	CASS-3---
179	4545663094961745507	CASS-3---
190	4568323428967506082	cass-2
179	4591495942005543100	cass-1
180	4630116596544340033	cass-1
180	4631191593148778407	CASS-3---
191	4646396868195067230	cass-2
181	4678049744229500188	cass-1
181	4729590379160048967	CASS-3---
182	4736186398858421939	CASS-3---
192	4784490387490422529	cass-2
182	4817004969593194204	cass-1
193	4838616916376929459	cass-2
183	4876758515421007953	CASS-3---
183	4876847130324846154	cass-1
184	4900487052007255820	CASS-3---
185	4904984408426254276	CASS-3---
194	4913224167131351622	cass-2
186	4937083767377241752	CASS-3---
185	4946540901186155075	cass-1
195	4958787584726144481	cass-2
196	4981522872415321450	cass-2
186	4995912987788208601	cass-1
187	5006853312865172278	CASS-3---
197	5014126338620121117	cass-2
187	5040451027717918816	cass-1
188	5087938111389899402	CASS-3---
188	5102052972385926522	cass-1
199	5121210153681278835	cass-2
189	5133951709000113889	cass-1
189	5143641549391138491	CASS-3---
190	5196233663567012175	cass-1
190	5228681696446831721	CASS-3---
191	5257026900718358713	cass-1
200	5274714200390110757	cass-2
191	5275170093244421039	CASS-3---
201	5327575877450276906	cass-2
193	5372002278344695984	cass-1
192	5429465529158015965	CASS-3---
202	5507277984151479767	cass-2
203	5509620203076957893	cass-2
193	5512498834639271211	CASS-3---
194	5525674960249652430	cass-1
204	5538395540086848836	cass-2
195	5539507560697598447	cass-1
196	5572328388601120770	cass-1
197	5617251549382749763	cass-1
205	5679349956942396653	cass-2
198	5699703024079537404	cass-1
199	5756509138000504251	cass-1
200	5776384405113939148	cass-1
206	5783650366675544413	cass-2
197	5791070671319648510	CASS-3---
201	5818144183814813039	cass-1
207	5973943652358795599	cass-2
208	5977473431158689180	cass-2
209	5993326591865244247	cass-2
202	6020380485726528342	cass-1
199	6023203204651973576	CASS-3---
200	6045591576614201138	CASS-3---
201	6048422018178913484	CASS-3---
203	6062078956275693720	cass-1
204	6065147223140776001	cass-1
205	6121540102926955660	cass-1
206	6131793366102243274	cass-1
207	6141273243806032336	cass-1
208	6145165616858428994	cass-1
210	6147912541926802403	cass-2
202	6161896445587466631	CASS-3---
211	6184857659061132221	cass-2
212	6185085853790425230	cass-2
213	6198096868066517209	cass-2
203	6203697296548490194	CASS-3---
204	6225759552587252719	CASS-3---
209	6241877556957569813	cass-1
205	6241948318784309740	CASS-3---
210	6243642481354220409	cass-1
