2020-02-25 10:50:06.174327 -  latency: 2.163887 ms
2020-02-25 10:50:06.180876 -  latency: 3.276110 ms
2020-02-25 10:50:06.185983 -  latency: 2.969027 ms
2020-02-25 10:50:06.190655 -  latency: 2.182007 ms
2020-02-25 10:50:06.197103 -  latency: 3.139019 ms
2020-02-25 10:50:06.202690 -  latency: 3.318071 ms
2020-02-25 10:50:06.206981 -  latency: 2.140045 ms
2020-02-25 10:50:06.214662 -  latency: 4.418135 ms
2020-02-25 10:50:06.218469 -  latency: 2.811909 ms
2020-02-25 10:50:06.224159 -  latency: 2.271891 ms
2020-02-25 10:50:06.231312 -  latency: 3.949165 ms
2020-02-25 10:50:06.235674 -  latency: 2.903938 ms
2020-02-25 10:50:06.240555 -  latency: 2.359152 ms
2020-02-25 10:50:06.248276 -  latency: 4.591942 ms
2020-02-25 10:50:06.252035 -  latency: 2.883911 ms
2020-02-25 10:50:06.256959 -  latency: 2.337933 ms
2020-02-25 10:50:06.263595 -  latency: 3.558874 ms
2020-02-25 10:50:06.268434 -  latency: 2.923012 ms
2020-02-25 10:50:06.273126 -  latency: 2.142191 ms
2020-02-25 10:50:06.279767 -  latency: 3.308058 ms
2020-02-25 10:50:06.285289 -  latency: 3.345013 ms
2020-02-25 10:50:06.290123 -  latency: 2.235889 ms
2020-02-25 10:50:06.296640 -  latency: 3.269911 ms
2020-02-25 10:50:06.301658 -  latency: 2.812862 ms
2020-02-25 10:50:06.306624 -  latency: 2.299070 ms
2020-02-25 10:50:06.313106 -  latency: 3.271103 ms
2020-02-25 10:50:06.317957 -  latency: 2.660036 ms
2020-02-25 10:50:06.322668 -  latency: 2.017975 ms
2020-02-25 10:50:06.329124 -  latency: 3.130913 ms
2020-02-25 10:50:06.334074 -  latency: 2.618074 ms
2020-02-25 10:50:06.338967 -  latency: 2.098799 ms
2020-02-25 10:50:06.345716 -  latency: 3.360987 ms
2020-02-25 10:50:06.350520 -  latency: 2.738953 ms
2020-02-25 10:50:06.355415 -  latency: 2.207041 ms
2020-02-25 10:50:06.362274 -  latency: 3.579855 ms
2020-02-25 10:50:06.367044 -  latency: 2.954006 ms
2020-02-25 10:50:06.371736 -  latency: 2.177000 ms
2020-02-25 10:50:06.378387 -  latency: 3.350973 ms
2020-02-25 10:50:06.383442 -  latency: 2.940893 ms
2020-02-25 10:50:06.388017 -  latency: 2.086878 ms
2020-02-25 10:50:06.397889 -  latency: 6.537914 ms
2020-02-25 10:50:06.400808 -  latency: 2.865791 ms
2020-02-25 10:50:06.405360 -  latency: 2.044916 ms
2020-02-25 10:50:06.412131 -  latency: 3.401041 ms
2020-02-25 10:50:06.417031 -  latency: 2.890110 ms
2020-02-25 10:50:06.421792 -  latency: 2.195120 ms
2020-02-25 10:50:06.428264 -  latency: 3.243923 ms
2020-02-25 10:50:06.433268 -  latency: 2.836227 ms
2020-02-25 10:50:06.438054 -  latency: 2.210855 ms
2020-02-25 10:50:06.445036 -  latency: 3.777981 ms
2020-02-25 10:50:06.450076 -  latency: 2.907991 ms
2020-02-25 10:50:06.454951 -  latency: 2.305031 ms
2020-02-25 10:50:06.461330 -  latency: 3.207922 ms
2020-02-25 10:50:06.466284 -  latency: 2.688169 ms
2020-02-25 10:50:06.471308 -  latency: 2.286196 ms
2020-02-25 10:50:06.477556 -  latency: 3.117085 ms
2020-02-25 10:50:06.482728 -  latency: 2.813101 ms
2020-02-25 10:50:06.487702 -  latency: 2.353907 ms
2020-02-25 10:50:06.493914 -  latency: 3.093004 ms
2020-02-25 10:50:06.498969 -  latency: 2.686024 ms
2020-02-25 10:50:06.503949 -  latency: 2.233028 ms
2020-02-25 10:50:06.510177 -  latency: 2.981901 ms
2020-02-25 10:50:06.515331 -  latency: 2.665997 ms
2020-02-25 10:50:06.520883 -  latency: 2.740145 ms
2020-02-25 10:50:06.526750 -  latency: 3.122091 ms
2020-02-25 10:50:06.531771 -  latency: 2.660036 ms
2020-02-25 10:50:06.536951 -  latency: 2.362013 ms
2020-02-25 10:50:06.543156 -  latency: 3.103018 ms
2020-02-25 10:50:06.548119 -  latency: 2.646208 ms
2020-02-25 10:50:06.553291 -  latency: 2.306938 ms
2020-02-25 10:50:06.559530 -  latency: 3.120184 ms
2020-02-25 10:50:06.564609 -  latency: 2.716064 ms
2020-02-25 10:50:06.569542 -  latency: 2.182961 ms
2020-02-25 10:50:06.575989 -  latency: 3.155947 ms
2020-02-25 10:50:06.581098 -  latency: 2.799988 ms
2020-02-25 10:50:06.585795 -  latency: 2.082825 ms
2020-02-25 10:50:06.592404 -  latency: 3.216982 ms
2020-02-25 10:50:06.598310 -  latency: 3.663063 ms
2020-02-25 10:50:06.602230 -  latency: 2.104998 ms
2020-02-25 10:50:06.608731 -  latency: 3.123999 ms
2020-02-25 10:50:06.613876 -  latency: 2.789021 ms
2020-02-25 10:50:06.618748 -  latency: 2.222061 ms
2020-02-25 10:50:06.625257 -  latency: 3.257990 ms
2020-02-25 10:50:06.630352 -  latency: 2.940178 ms
2020-02-25 10:50:06.634966 -  latency: 2.086878 ms
2020-02-25 10:50:06.641620 -  latency: 3.316879 ms
2020-02-25 10:50:06.646638 -  latency: 2.870798 ms
2020-02-25 10:50:06.651352 -  latency: 2.118826 ms
2020-02-25 10:50:06.658091 -  latency: 3.386021 ms
2020-02-25 10:50:06.662926 -  latency: 2.799034 ms
2020-02-25 10:50:06.667793 -  latency: 2.195120 ms
2020-02-25 10:50:06.673926 -  latency: 2.915144 ms
2020-02-25 10:50:06.679581 -  latency: 3.094912 ms
2020-02-25 10:50:06.684185 -  latency: 2.212048 ms
2020-02-25 10:50:06.690560 -  latency: 3.099918 ms
2020-02-25 10:50:06.695789 -  latency: 2.864122 ms
2020-02-25 10:50:06.700559 -  latency: 2.174854 ms
2020-02-25 10:50:06.706944 -  latency: 3.087997 ms
2020-02-25 10:50:06.711938 -  latency: 2.659798 ms
2020-02-25 10:50:06.717066 -  latency: 2.375126 ms
2020-02-25 10:50:06.723308 -  latency: 3.202915 ms
2020-02-25 10:50:06.728480 -  latency: 2.907991 ms
2020-02-25 10:50:06.733263 -  latency: 2.215147 ms
2020-02-25 10:50:06.739764 -  latency: 3.230095 ms
2020-02-25 10:50:06.744924 -  latency: 2.915144 ms
2020-02-25 10:50:06.749681 -  latency: 2.250195 ms
2020-02-25 10:50:06.755948 -  latency: 3.166199 ms
2020-02-25 10:50:06.761406 -  latency: 3.152847 ms
2020-02-25 10:50:06.765974 -  latency: 2.249002 ms
2020-02-25 10:50:06.772358 -  latency: 3.161907 ms
2020-02-25 10:50:06.777544 -  latency: 2.871037 ms
2020-02-25 10:50:06.782352 -  latency: 2.213001 ms
2020-02-25 10:50:06.788736 -  latency: 3.175974 ms
2020-02-25 10:50:06.793765 -  latency: 2.740145 ms
2020-02-25 10:50:06.798663 -  latency: 2.177954 ms
2020-02-25 10:50:06.804914 -  latency: 3.035069 ms
2020-02-25 10:50:06.810007 -  latency: 2.763033 ms
2020-02-25 10:50:06.814748 -  latency: 2.151012 ms
2020-02-25 10:50:06.820926 -  latency: 2.918005 ms
2020-02-25 10:50:06.826430 -  latency: 2.959967 ms
2020-02-25 10:50:06.831100 -  latency: 2.216101 ms
2020-02-25 10:50:06.837320 -  latency: 3.021002 ms
2020-02-25 10:50:06.843060 -  latency: 3.287077 ms
2020-02-25 10:50:06.847933 -  latency: 2.197027 ms
2020-02-25 10:50:06.854347 -  latency: 3.136873 ms
2020-02-25 10:50:06.859475 -  latency: 2.792835 ms
2020-02-25 10:50:06.864203 -  latency: 2.111912 ms
2020-02-25 10:50:06.870612 -  latency: 3.031015 ms
2020-02-25 10:50:06.875945 -  latency: 2.909899 ms
2020-02-25 10:50:06.880611 -  latency: 2.159834 ms
2020-02-25 10:50:06.886802 -  latency: 2.933025 ms
2020-02-25 10:50:06.892192 -  latency: 2.852201 ms
2020-02-25 10:50:06.897058 -  latency: 2.253056 ms
2020-02-25 10:50:06.903119 -  latency: 2.901077 ms
2020-02-25 10:50:06.908555 -  latency: 2.905130 ms
2020-02-25 10:50:06.913242 -  latency: 2.133131 ms
2020-02-25 10:50:06.920562 -  latency: 3.975153 ms
2020-02-25 10:50:06.924931 -  latency: 2.879143 ms
2020-02-25 10:50:06.929608 -  latency: 2.089024 ms
2020-02-25 10:50:06.937060 -  latency: 4.064083 ms
2020-02-25 10:50:06.941408 -  latency: 2.926826 ms
