2020-02-19 08:38:00.377877 -  latency: 1.991034 ms
2020-02-19 08:38:00.386653 -  latency: 5.291939 ms
2020-02-19 08:38:00.389334 -  latency: 2.533913 ms
2020-02-19 08:38:00.394282 -  latency: 2.058983 ms
2020-02-19 08:38:00.400391 -  latency: 2.742052 ms
2020-02-19 08:38:00.405758 -  latency: 2.582788 ms
2020-02-19 08:38:00.410683 -  latency: 2.070904 ms
2020-02-19 08:38:00.416177 -  latency: 2.087116 ms
2020-02-19 08:38:00.422009 -  latency: 2.491951 ms
2020-02-19 08:38:00.427009 -  latency: 2.076149 ms
2020-02-19 08:38:00.432561 -  latency: 2.161980 ms
2020-02-19 08:38:00.438357 -  latency: 2.480030 ms
2020-02-19 08:38:00.443335 -  latency: 1.996040 ms
2020-02-19 08:38:00.448960 -  latency: 2.148151 ms
2020-02-19 08:38:00.454800 -  latency: 2.519846 ms
2020-02-19 08:38:00.459788 -  latency: 2.025843 ms
2020-02-19 08:38:00.465247 -  latency: 2.063036 ms
2020-02-19 08:38:00.471312 -  latency: 2.614021 ms
2020-02-19 08:38:00.476271 -  latency: 2.089977 ms
2020-02-19 08:38:00.482062 -  latency: 2.415180 ms
2020-02-19 08:38:00.487584 -  latency: 2.513885 ms
2020-02-19 08:38:00.492660 -  latency: 2.116203 ms
2020-02-19 08:38:00.497908 -  latency: 1.900196 ms
2020-02-19 08:38:00.503911 -  latency: 2.484083 ms
2020-02-19 08:38:00.509055 -  latency: 2.213955 ms
2020-02-19 08:38:00.514359 -  latency: 2.032042 ms
2020-02-19 08:38:00.520258 -  latency: 2.491951 ms
2020-02-19 08:38:00.525299 -  latency: 2.058029 ms
2020-02-19 08:38:00.530740 -  latency: 2.034903 ms
2020-02-19 08:38:00.536759 -  latency: 2.575874 ms
2020-02-19 08:38:00.541777 -  latency: 2.178907 ms
2020-02-19 08:38:00.546963 -  latency: 1.900911 ms
2020-02-19 08:38:00.553129 -  latency: 2.603054 ms
2020-02-19 08:38:00.558107 -  latency: 2.151012 ms
2020-02-19 08:38:00.563792 -  latency: 2.367020 ms
2020-02-19 08:38:00.569365 -  latency: 2.525091 ms
2020-02-19 08:38:00.574315 -  latency: 2.045155 ms
2020-02-19 08:38:00.579796 -  latency: 2.023220 ms
2020-02-19 08:38:00.585830 -  latency: 2.538919 ms
2020-02-19 08:38:00.590856 -  latency: 2.096176 ms
2020-02-19 08:38:00.596233 -  latency: 2.053022 ms
2020-02-19 08:38:00.602160 -  latency: 2.509117 ms
2020-02-19 08:38:00.607098 -  latency: 2.035856 ms
2020-02-19 08:38:00.612600 -  latency: 2.065182 ms
2020-02-19 08:38:00.618572 -  latency: 2.531052 ms
2020-02-19 08:38:00.623595 -  latency: 2.090931 ms
2020-02-19 08:38:00.629088 -  latency: 2.104044 ms
2020-02-19 08:38:00.634960 -  latency: 2.497911 ms
2020-02-19 08:38:00.640119 -  latency: 2.161026 ms
2020-02-19 08:38:00.645909 -  latency: 2.468109 ms
2020-02-19 08:38:00.651820 -  latency: 2.487898 ms
2020-02-19 08:38:00.656967 -  latency: 2.152920 ms
2020-02-19 08:38:00.662335 -  latency: 2.041817 ms
2020-02-19 08:38:00.668298 -  latency: 2.505064 ms
2020-02-19 08:38:00.673441 -  latency: 2.161980 ms
2020-02-19 08:38:00.678719 -  latency: 1.974106 ms
2020-02-19 08:38:00.684714 -  latency: 2.545118 ms
2020-02-19 08:38:00.689781 -  latency: 2.136946 ms
2020-02-19 08:38:00.695034 -  latency: 1.963139 ms
2020-02-19 08:38:00.701068 -  latency: 2.572060 ms
2020-02-19 08:38:00.705991 -  latency: 2.082109 ms
2020-02-19 08:38:00.714847 -  latency: 5.460978 ms
2020-02-19 08:38:00.717525 -  latency: 2.619982 ms
2020-02-19 08:38:00.722835 -  latency: 2.516031 ms
2020-02-19 08:38:00.727788 -  latency: 1.982927 ms
2020-02-19 08:38:00.733784 -  latency: 2.552032 ms
2020-02-19 08:38:00.738800 -  latency: 2.106190 ms
2020-02-19 08:38:00.744089 -  latency: 1.924992 ms
2020-02-19 08:38:00.750293 -  latency: 2.654076 ms
2020-02-19 08:38:00.755336 -  latency: 2.180099 ms
2020-02-19 08:38:00.760723 -  latency: 2.089024 ms
2020-02-19 08:38:00.766625 -  latency: 2.571821 ms
2020-02-19 08:38:00.771653 -  latency: 2.128839 ms
2020-02-19 08:38:00.777087 -  latency: 2.099991 ms
2020-02-19 08:38:00.783086 -  latency: 2.679110 ms
2020-02-19 08:38:00.788153 -  latency: 2.186060 ms
2020-02-19 08:38:00.793370 -  latency: 1.934052 ms
2020-02-19 08:38:00.799353 -  latency: 2.491951 ms
2020-02-19 08:38:00.804937 -  latency: 2.656937 ms
2020-02-19 08:38:00.810092 -  latency: 1.924038 ms
2020-02-19 08:38:00.816283 -  latency: 2.621174 ms
2020-02-19 08:38:00.821254 -  latency: 2.179146 ms
2020-02-19 08:38:00.826464 -  latency: 1.922846 ms
2020-02-19 08:38:00.832630 -  latency: 2.619028 ms
2020-02-19 08:38:00.837541 -  latency: 2.028942 ms
